source,target,time
65,500,60.47
466,760,60.66
61,601,61.15
474,845,61.24
49,402,61.29
142,785,61.38
394,744,61.48
82,104,61.79
54,743,61.91
31,749,61.93
333,684,62.01
607,587,62.05
381,652,62.18
691,113,62.25
348,216,62.29
249,772,63.29
52,767,63.46
26,260,63.47
62,456,63.65
273,685,64.14
55,874,64.31
114,322,64.43
527,250,64.47
115,984,64.55
49,95,65.26
65,371,65.31
362,614,65.39
143,426,65.41
110,457,66.19
52,63,66.4
209,268,66.44
109,637,66.64
26,13,66.71
39,759,66.73
285,206,66.9
652,835,67.13
49,763,67.64
39,248,67.69
760,431,67.86
734,616,67.88
66,439,68.01
49,338,68.2
521,552,68.23
181,622,68.25
62,323,68.58
151,438,68.59
273,465,68.81
648,840,69.74
214,313,69.97
11,925,69.97
812,853,70.19
708,303,70.4
273,293,70.42
334,805,70.88
496,810,70.9
333,420,71.13
420,872,72.27
572,632,72.29
456,287,73.21
407,495,73.46
334,344,73.53
785,784,74.04
55,765,74.29
49,403,74.37
319,813,74.78
319,154,74.98
607,369,75.21
239,175,76.01
244,150,76.71
746,821,77.12
95,955,77.26
239,558,77.52
439,328,77.84
162,880,78.26
150,274,78.33
589,545,78.7
474,939,78.75
706,563,79.08
374,870,79.85
752,349,80.14
835,252,80.55
87,158,81.1
250,324,81.12
240,354,82.25
765,88,82.57
840,454,82.84
239,833,83.31
545,625,83.5
252,373,83.79
158,418,85.49
287,56,85.68
158,395,86.58
545,281,87.8
349,814,89.58
431,153,89.69
420,100,90.83
252,149,90.92
56,169,91.22
395,851,91.76
287,583,91.83
154,246,93.52
369,340,93.6
810,25,94.49
495,738,96.91
354,476,97.25
25,221,97.81
169,336,99.15
880,292,99.23
821,361,101.09
354,501,101.34
583,19,102.84
25,135,103.29
25,379,104.75
246,560,105.48
56,263,106.17
281,773,107.03
100,645,107.86
25,335,108.0
25,448,109.63
263,786,115.41
25,727,117.39
263,878,118.28
773,222,125.67
